"","slugSeason","yearSeason","isSeasonCurrent","slugPlayerSeason","slugPlayerBREF","namePlayer","slugPosition","agePlayer","slugTeamBREF","countGames","countGamesStarted","pctFG","pctFG3","pctFG2","pctEFG","pctFT","isHOFPlayer","slugTeamsBREF","idPlayerNBA","urlPlayerThumbnail","urlPlayerHeadshot","urlPlayerPhoto","urlPlayerStats","urlPlayerActionPhoto","minutesTotals","fgmTotals","fgaTotals","fg3mTotals","fg3aTotals","fg2mTotals","fg2aTotals","ftmTotals","ftaTotals","orbTotals","drbTotals","trbTotals","astTotals","stlTotals","blkTotals","tovTotals","pfTotals","ptsTotals","countTeamsPlayerSeasonTotals"
"31","2023-24",2023,FALSE,"barrerj01_2024","barrerj01","RJ Barrett","SG",23,"TOT",58,58,0.495,0.36,0.549,0.547,0.715,FALSE,"NYK | TOR",1629628,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629628.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629628.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png","https://stats.nba.com/player/1629628","https://stats.nba.com/media/players/700/1629628.png",1838,436,880,90,250,346,630,208,291,53,262,315,193,31,22,126,129,1170,1
"32","2023-24",2023,FALSE,"bassech01_2024","bassech01","Charles Bassey","C",23,"SAS",19,0,0.725,0,0.744,0.725,0.833,FALSE,"SAS",1629646,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629646.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629646.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png","https://stats.nba.com/player/1629646","https://stats.nba.com/media/players/700/1629646.png",205,29,40,0,1,29,39,5,6,23,53,76,21,8,17,15,31,63,1
"33","2023-24",2023,FALSE,"batesem01_2024","batesem01","Emoni Bates","SF",20,"CLE",15,0,0.306,0.303,0.313,0.408,0.25,FALSE,"CLE",1641734,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1641734.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1641734.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png","https://stats.nba.com/player/1641734","https://stats.nba.com/media/img/league/nba-headshot-fallback.png",133,15,49,10,33,5,16,1,4,1,13,14,10,1,2,8,5,41,1
"34","2023-24",2023,FALSE,"bateske01_2024","bateske01","Keita Bates-Diop","SF",28,"TOT",53,8,0.434,0.304,0.526,0.497,0.762,FALSE,"PHO | BRK",1628966,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628966.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628966.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628966.png","https://stats.nba.com/player/1628966","https://stats.nba.com/media/players/700/1628966.png",665,72,166,21,69,51,97,32,42,31,79,110,38,25,22,15,35,197,1
"35","2023-24",2023,FALSE,"batumni01_2024","batumni01","Nicolas Batum","PF",35,"TOT",60,38,0.453,0.395,0.606,0.596,0.714,FALSE,"LAC | PHI",201587,"https://stats.nba.com/media/players/230x185/201587.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201587.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201587.png","https://stats.nba.com/player/201587","https://stats.nba.com/media/players/700/201587.png",1529,116,256,73,185,43,71,15,21,70,178,248,128,48,38,40,109,320,1
"36","2023-24",2023,FALSE,"bazleda01_2024","bazleda01","Darius Bazley","PF",23,"TOT",9,0,0.6,0.25,0.727,0.633,0.833,FALSE,"PHI | UTA",1629647,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629647.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629647.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png","https://stats.nba.com/player/1629647","https://stats.nba.com/media/players/700/1629647.png",152,18,30,2,8,16,22,10,12,8,20,28,7,6,7,8,3,48,1
"37","2023-24",2023,FALSE,"bealbr01_2024","bealbr01","Bradley Beal","SG",30,"PHO",53,53,0.513,0.43,0.552,0.582,0.813,FALSE,"PHO",203078,"https://stats.nba.com/media/players/230x185/203078.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203078.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203078.png","https://stats.nba.com/player/203078","https://stats.nba.com/media/players/700/203078.png",1767,377,735,101,235,276,500,109,134,54,178,232,265,52,27,131,127,964,1
"38","2023-24",2023,FALSE,"beaslma01_2024","beaslma01","Malik Beasley","SG",27,"MIL",79,77,0.443,0.413,0.533,0.598,0.714,FALSE,"MIL",1627736,"https://stats.nba.com/media/players/230x185/1627736.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627736.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627736.png","https://stats.nba.com/player/1627736","https://stats.nba.com/media/players/700/1627736.png",2337,320,722,224,542,96,180,25,35,41,249,290,108,59,9,54,158,889,1
"39","2023-24",2023,FALSE,"beaucma01_2024","beaucma01","MarJon Beauchamp","SF",23,"MIL",48,1,0.488,0.4,0.56,0.578,0.679,FALSE,"MIL",1630699,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630699.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630699.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png","https://stats.nba.com/player/1630699","https://stats.nba.com/media/players/700/1630699.png",608,81,166,30,75,51,91,19,28,22,77,99,31,13,7,27,54,211,1
"40","2023-24",2023,FALSE,"bernaju01_2024","bernaju01","Jules Bernard","SG",24,"WAS",19,0,0.453,0.379,0.514,0.539,0.556,FALSE,"WAS",1631262,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631262.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631262.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png","https://stats.nba.com/player/1631262","https://stats.nba.com/media/img/league/nba-headshot-fallback.png",149,29,64,11,29,18,35,5,9,10,16,26,16,3,1,8,14,74,1
